"age","job","marital","education","default","balance","housing","contact","duration","campaign","pdays","previous","poutcome","signedup","Year","Date"
55,"management","married","secondary","no",11743,"yes","unknown",75,1,-1,0,"unknown",0,2017,2017-01-01
37,"housemaid","married","secondary","no",285,"no","unknown",401,2,-1,0,"unknown",0,2017,2017-01-01
39,"admin.","married","secondary","no",394,"no","cellular",551,2,-1,0,"unknown",0,2017,2017-01-01
34,"blue-collar","married","primary","no",455,"yes","unknown",372,3,-1,0,"unknown",0,2017,2017-01-01
30,"services","married","secondary","no",-134,"yes","cellular",61,1,-1,0,"unknown",0,2017,2017-01-01
42,"management","married","tertiary","no",3718,"yes","cellular",42,1,272,2,"failure",0,2017,2017-01-01
40,"blue-collar","married","secondary","no",188,"yes","unknown",570,2,-1,0,"unknown",1,2017,2017-01-01
34,"technician","single","secondary","no",0,"no","cellular",113,2,-1,0,"unknown",0,2017,2017-01-01
58,"management","married","tertiary","no",6711,"no","cellular",95,3,-1,0,"unknown",0,2017,2017-01-01
49,"management","married","tertiary","no",2147,"no","cellular",123,2,-1,0,"unknown",0,2017,2017-01-01
32,"management","single","tertiary","no",4262,"yes","cellular",246,1,152,1,"failure",0,2017,2017-01-01
39,"admin.","married","secondary","no",15,"no","unknown",256,2,-1,0,"unknown",0,2017,2017-01-01
30,"technician","married","secondary","no",764,"no","unknown",150,2,-1,0,"unknown",0,2017,2017-01-01
35,"blue-collar","single","unknown","no",871,"yes","unknown",216,3,-1,0,"unknown",0,2017,2017-01-01
31,"technician","married","tertiary","no",2951,"yes","cellular",115,1,-1,0,"unknown",0,2017,2017-01-01
55,"management","married","tertiary","no",36,"no","cellular",46,3,-1,0,"unknown",0,2017,2017-01-01
48,"blue-collar","divorced","primary","no",-110,"yes","cellular",942,1,-1,0,"unknown",0,2017,2017-01-01
45,"admin.","married","secondary","no",-31,"yes","unknown",295,2,-1,0,"unknown",0,2017,2017-01-01
40,"management","single","tertiary","no",0,"yes","cellular",228,2,182,6,"failure",1,2017,2017-01-01
33,"unemployed","single","secondary","no",559,"yes","cellular",18,6,-1,0,"unknown",0,2017,2017-01-01
31,"technician","married","secondary","no",141,"no","cellular",110,2,-1,0,"unknown",0,2017,2017-01-01
47,"technician","married","tertiary","no",282,"yes","unknown",433,1,-1,0,"unknown",0,2017,2017-01-01
33,"technician","single","tertiary","no",1393,"yes","cellular",1127,3,-1,0,"unknown",1,2017,2017-01-01
30,"technician","single","secondary","no",359,"yes","cellular",362,1,303,1,"failure",0,2017,2017-01-01
29,"services","married","secondary","no",376,"no","telephone",49,3,183,4,"failure",0,2017,2017-01-01
38,"management","married","tertiary","no",4293,"yes","cellular",92,2,250,2,"failure",0,2017,2017-01-01
78,"retired","married","tertiary","no",1204,"no","telephone",135,1,-1,0,"unknown",1,2017,2017-01-01
36,"technician","married","tertiary","no",4596,"yes","cellular",901,2,-1,0,"unknown",1,2017,2017-01-01
33,"services","single","secondary","no",489,"yes","cellular",297,4,334,1,"other",1,2017,2017-01-01
53,"management","married","unknown","no",12001,"no","unknown",207,1,-1,0,"unknown",0,2017,2017-01-01
50,"management","married","tertiary","no",398,"no","telephone",1567,5,-1,0,"unknown",0,2017,2017-01-01
49,"services","married","secondary","no",112,"no","cellular",97,2,-1,0,"unknown",0,2017,2017-01-01
58,"retired","single","tertiary","no",1411,"yes","cellular",425,2,-1,0,"unknown",0,2017,2017-01-01
60,"management","married","tertiary","no",3876,"no","cellular",445,3,-1,0,"unknown",0,2017,2017-01-01
40,"services","married","secondary","no",193,"yes","cellular",190,1,-1,0,"unknown",0,2017,2017-01-01
45,"admin.","married","secondary","no",6971,"no","cellular",119,1,-1,0,"unknown",0,2017,2017-01-01
